Insertadas|ActivasNoValidadas
----------|------------------
49|49
UbicacionId|ProyectoId|Etiqueta|TipoGeometria|Validada|Activa
-----------|----------|--------|-------------|--------|------
16|2|SE GUAMUCHIL|Point|0|1
18|3|L.T. MIRAVALLE - ALAMOS|MultiLineString|0|1
3|4|SE EL HABAL|Point|0|1
21|5|S.E. ASCENSION|Point|0|1
2|6|SE EL CARRIZO|Point|0|1
23|11|S.E. FRONTERA|Point|0|1
17|33|S.E. CHIHUAHUA NORTE|Point|0|1
25|40|SE QUILA|Point|0|1
19|44|S.E. NIZUC|Point|0|1
22|45|S.E. CASAS GRANDES|Point|0|1
24|47|S.E. ESCARCEGA POTENCIA|Point|0|1
20|61|S.E. NUEVA ROSITA|Point|0|1
4|64|S.E. CERRO DEL MERCADO|Point|0|1
29|95|SE HUATULCO|Point|0|1
28|99|S.E. SANTA FE|Point|0|1
26|103|S.E. TECNOLOGICO|Point|0|1
27|110|S.E. LA PAZ|Point|0|1
5|111|SE TECNOLOGICO|Point|0|1
6|112|S.E. BISMARK|Point|0|1
1|118|SE ORIENTE|Point|0|1
31|131|SE PERICOS|Point|0|1
30|132|SE JUAN JOSE RIOS|Point|0|1
35|133|SE NANCHITAL II|Point|0|1
34|135|S.E. ATEQUIZA|Point|0|1
32|142|SE EL HABAL|Point|0|1
33|144|S.E. MESTEÑAS|Point|0|1
36|148|S.E. MAXCANU|Point|0|1
9|158|S.E. SAN RAFAEL|Point|0|1
7|164|S.E CIPRES|Point|0|1
8|165|S.E. PANAMERICANA POTENCIA|Point|0|1
37|166|SE RIVIERA MAYA|Point|0|1
39|181|S.E. LA VEGA|Point|0|1
40|183|S.E. LEÓN ORIENTE|Point|0|1
38|190|SE TECATE|Point|0|1
13|194|SE JUILE|Point|0|1
14|195|SE TRES ESTRELLAS|Point|0|1
12|196|SE SAHUARO|Point|0|1
11|200|S.E. VILLA DE GARCIA|Point|0|1
10|202|S.E. REMEDIOS|Point|0|1
43|207|S.E. LIBERTAD|Point|0|1
45|209|S.E. FRONTERA|Point|0|1
44|212|S.E. ACAPONETA|Point|0|1
42|214|SE NAVOLATO|Point|0|1
41|219|S.E. POPOTLA|Point|0|1
15|221|S.E. TIJUANA I|Point|0|1
46|231|S.E. ENSENADA|Point|0|1
49|236|S.E. ARRIAGA|Point|0|1
48|244|S.E. TORREON SUR|Point|0|1
47|246|S.E. SAN QUINTIN|Point|0|1
