Insertadas|Proyectos|ActivasValidadas
----------|---------|----------------
22|19|22
UbicacionId|ProyectoId|Etiqueta|PrecisionUbicacion|EsPrincipal|Validada|Activa
-----------|----------|--------|------------------|-----------|--------|------
51|8|S.E. POTRERILLOS|exacta|1|1|1
52|13|SE SERI|exacta|1|1|1
53|34|S.E. PANAMERICANA POTENCIA|exacta|1|1|1
54|35|S.E. ALMOLOYA|exacta|1|1|1
55|42|S.E. RIO ESCONDIDO|exacta|1|1|1
56|58|S.E. DEPORTIVA|exacta|1|1|1
57|58|S.E. TOLUCA|exacta|0|1|1
58|71|S.E. REYNOSA|exacta|1|1|1
59|98|S.E. LA HIGUERA|exacta|1|1|1
60|108|S.E. POZA RICA|exacta|1|1|1
61|146|S.E. NUEVO LAREDO|exacta|1|1|1
62|156|S.E. MINATITLAN II|exacta|1|1|1
63|163|S.E. VILLA DE GARCIA|exacta|1|1|1
65|167|S.E. TUXPAN|exacta|1|1|1
64|167|S.E. POZA RICA|exacta|0|1|1
66|167|SE POZA RICA II|exacta|0|1|1
67|168|S.E. ESCARCEGA POTENCIA|exacta|1|1|1
68|189|S.E. METROPOLI POTENCIA|exacta|1|1|1
69|191|S.E. NOPALA|exacta|1|1|1
70|215|SE OASIS|exacta|1|1|1
71|224|S.E. COLIMA II|exacta|1|1|1
72|250|SE LAGUNA VERDE|exacta|1|1|1
